,src_ip,src_port,dst_ip,dst_port,protocol,bidirectional_packets,bidirectional_bytes,application_name
22338,0.0.144.101,0,120.219.231.242,0,107,1,1220,Unknown
22339,0.0.144.101,0,123.185.231.247,0,107,1,1234,Unknown
22340,0.0.144.101,0,120.226.231.242,0,107,1,1220,Unknown
22341,0.0.144.101,0,118.219.231.238,0,107,1,1231,Unknown
22342,0.0.144.120,0,156.105.83.249,0,107,1,115,Unknown
22343,0.0.144.229,0,114.39.231.230,0,107,1,1235,Unknown
22344,0.0.144.101,0,124.51.231.247,0,107,1,1216,Unknown
22345,0.0.144.229,0,119.222.231.240,0,107,1,1235,Unknown
22346,0.0.144.120,0,158.127.84.1,0,107,1,126,Unknown
22347,0.0.144.120,0,158.161.84.2,0,107,1,161,Unknown
22348,0.0.144.120,0,157.204.83.255,0,107,1,134,Unknown
22349,0.0.144.101,0,115.80.231.232,0,107,1,76,Unknown
22350,0.0.144.101,0,114.43.231.230,0,107,1,1220,Unknown
22351,0.0.144.229,0,120.229.231.242,0,107,1,1220,Unknown
22352,0.0.144.101,0,119.226.231.240,0,107,1,1228,Unknown
22353,0.0.144.101,0,124.58.231.247,0,107,1,1216,Unknown
22354,0.0.144.101,0,119.233.231.240,0,107,1,1228,Unknown
22355,0.0.144.120,0,157.84.83.253,0,107,1,140,Unknown
22356,0.0.144.101,0,124.70.231.248,0,107,1,1220,Unknown
22357,0.0.144.101,0,114.50.231.230,0,107,1,1220,Unknown
22358,0.0.144.101,0,120.233.231.242,0,107,1,1234,Unknown
22359,0.0.144.101,0,123.192.231.247,0,107,1,1234,Unknown
22360,0.0.144.101,0,119.240.231.240,0,107,1,1229,Unknown
22361,0.0.144.101,0,115.87.231.232,0,107,1,1236,Unknown
22362,0.0.144.101,0,118.233.231.238,0,107,1,1216,Unknown
22363,0.0.144.101,0,115.94.231.232,0,107,1,1236,Unknown
22364,0.0.144.120,0,156.29.83.248,0,107,1,125,Unknown
22365,0.0.144.101,0,120.240.231.242,0,107,1,1234,Unknown
22366,0.0.144.101,0,123.199.231.247,0,107,1,1203,Unknown
22367,0.0.144.229,0,119.243.231.240,0,107,1,1229,Unknown
22368,0.0.144.120,0,158.168.84.2,0,107,1,143,Unknown
22369,0.0.144.101,0,115.108.231.232,0,107,1,1182,Unknown
22370,0.0.144.101,0,118.240.231.238,0,107,1,1216,Unknown
22371,0.0.144.101,0,124.77.231.248,0,107,1,1221,Unknown
22372,0.0.144.101,0,114.64.231.230,0,107,1,1212,Unknown
22373,0.0.144.101,0,119.247.231.240,0,107,1,1208,Unknown
22374,0.0.144.101,0,123.206.231.247,0,107,1,1203,Unknown
22375,0.0.144.120,0,156.112.83.249,0,107,1,122,Unknown
22376,0.0.144.101,0,120.247.231.242,0,107,1,1235,Unknown
22377,0.0.144.101,0,124.84.231.248,0,107,1,76,Unknown
22378,0.0.144.101,0,118.252.231.239,0,107,1,1215,Unknown
22379,0.0.144.101,0,114.71.231.230,0,107,1,1212,Unknown
22380,0.0.144.120,0,157.151.83.254,0,107,1,142,Unknown
22381,0.0.144.120,0,158.134.84.1,0,107,1,172,Unknown
22382,0.0.144.101,0,115.115.231.232,0,107,1,1182,Unknown
22383,0.0.144.101,0,120.254.231.242,0,107,1,1200,Unknown
22384,0.0.144.101,0,123.220.231.247,0,107,1,1236,Unknown
22385,0.0.144.120,0,157.91.83.253,0,107,1,143,Unknown
22386,0.0.144.101,0,114.78.231.230,0,107,1,1207,Unknown
22387,0.0.144.101,0,119.254.231.240,0,107,1,1208,Unknown
22388,0.0.144.101,0,124.91.231.248,0,107,1,1187,Unknown
22389,0.0.144.101,0,115.122.231.232,0,107,1,1219,Unknown
22390,0.0.144.101,0,121.0.231.242,0,107,1,1200,Unknown
22391,0.0.144.101,0,123.227.231.247,0,107,1,1237,Unknown
22392,0.0.144.120,0,156.36.83.248,0,107,1,119,Unknown
22393,0.0.144.101,0,119.5.231.239,0,107,1,1216,Unknown
22394,0.0.144.101,0,120.0.231.240,0,107,1,1208,Unknown
22395,0.0.144.101,0,124.98.231.248,0,107,1,1187,Unknown
22396,0.0.144.120,0,156.117.83.250,0,107,1,145,Unknown
22397,0.0.144.120,0,157.211.83.255,0,107,1,150,Unknown
22398,0.0.144.101,0,123.234.231.247,0,107,1,1199,Unknown
22399,0.0.144.101,0,114.85.231.230,0,107,1,1208,Unknown
22400,0.0.144.101,0,120.7.231.240,0,107,1,1209,Unknown
22401,0.0.144.101,0,119.19.231.239,0,107,1,1206,Unknown
22402,0.0.144.229,0,124.101.231.248,0,107,1,1188,Unknown
22403,0.0.144.101,0,115.129.231.232,0,107,1,1219,Unknown
22404,0.0.144.101,0,121.7.231.242,0,107,1,1201,Unknown
22405,0.0.144.101,0,114.92.231.230,0,107,1,1208,Unknown
22406,0.0.144.120,0,158.141.84.1,0,107,1,232,Unknown
22407,0.0.144.101,0,120.14.231.240,0,107,1,1224,Unknown
22408,0.0.144.101,0,114.99.231.230,0,107,1,1227,Unknown
22409,0.0.144.120,0,158.175.84.2,0,107,1,160,Unknown
22410,0.0.144.101,0,115.136.231.232,0,107,1,1219,Unknown
22411,0.0.144.101,0,114.106.231.230,0,107,1,1228,Unknown
22412,0.0.144.101,0,119.26.231.239,0,107,1,1206,Unknown
22413,0.0.144.101,0,120.21.231.240,0,107,1,1224,Unknown
22414,0.0.144.101,0,123.241.231.247,0,107,1,1200,Unknown
22415,0.0.144.120,0,157.158.83.254,0,107,1,146,Unknown
22416,0.0.144.101,0,121.14.231.242,0,107,1,1201,Unknown
